source,component,file,non_theme_colors_before,non_theme_colors_remaining,status,colors_found_before,remaining_colors,categories_before
insights-ui,HeroSection,insights-ui/src/components/genai-simulation/HeroSection.tsx,39,26,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-white x3; text-indigo-300 x2; text-gray-300 x2; from-indigo-900/20; via-gray-900; to-purple-900/20; bg-indigo-500/10; bg-purple-500/10; from-indigo-500/20; to-purple-500/20; ring-indigo-500/30; via-gray-100; to-gray-300; from-indigo-400; to-purple-400; border-indigo-400; bg-indigo-500/20; hover:bg-indigo-500/30; hover:border-indigo-300; from-indigo-600; to-purple-600; hover:from-indigo-500; hover:to-purple-500; border-gray-600; bg-gray-800/50; hover:bg-gray-700/50; hover:border-gray-500; text-gray-400; border-gray-700/50; from-gray-800/50; to-gray-900/50; from-gray-800; to-gray-900; from-white; ring-white/10,text-white x2; from-indigo-900/20; via-gray-900; to-purple-900/20; bg-indigo-500/10; bg-purple-500/10; from-indigo-500/20; to-purple-500/20; ring-indigo-500/30; via-gray-100; to-gray-300; from-indigo-400; to-purple-400; bg-indigo-500/20; hover:bg-indigo-500/30; from-indigo-600; to-purple-600; hover:from-indigo-500; hover:to-purple-500; from-gray-800/50; to-gray-900/50; from-gray-800; to-gray-900; from-white; ring-white/10,white-black; brand-indigo; structural-gray; accent-other
insights-ui,StockActionsAdminPanel,insights-ui/src/app/stocks/[exchange]/[ticker]/StockActionsAdminPanel.tsx,38,11,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-white x9; border-gray-600 x4; bg-gray-800 x3; hover:bg-gray-700 x2; bg-green-600 x2; hover:bg-green-500 x2; bg-gray-600 x2; text-gray-300; text-gray-400; text-gray-500; bg-gray-700; hover:bg-gray-600; bg-blue-600; hover:bg-blue-500; bg-purple-600; hover:bg-purple-500; bg-green-900; border-green-600; text-green-200; bg-gray-900; hover:bg-gray-500,bg-green-600 x2; hover:bg-green-500 x2; text-white x2; bg-purple-600; hover:bg-purple-500; bg-green-900; border-green-600; text-green-200,white-black; structural-gray; status-success; status-info; accent-other
insights-ui,SubjectsSection,insights-ui/src/components/genai-simulation/SubjectsSection.tsx,38,13,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-white x4; border-gray-700 x3; bg-gray-800/50 x3; text-gray-300 x2; hover:border-gray-600 x2; group-hover:text-indigo-300 x2; text-gray-500 x2; bg-gray-700/60 x2; text-gray-200 x2; hover:bg-gray-600/60 x2; from-blue-500; to-cyan-500; from-yellow-500; to-orange-500; from-red-500; to-rose-500; from-purple-500; to-pink-500; from-green-500; to-emerald-500; text-indigo-400; from-indigo-500; to-purple-500; bg-green-400,from-blue-500; to-cyan-500; from-yellow-500; to-orange-500; from-red-500; to-rose-500; from-purple-500; to-pink-500; from-green-500; to-emerald-500; from-indigo-500; to-purple-500; bg-green-400,white-black; structural-gray; brand-indigo; status-info; status-warning; status-danger; accent-other; status-success
insights-ui,TickerFields,insights-ui/src/components/public-equitiesv1/TickerFields.tsx,37,2,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,dark:text-gray-300 x5; border-gray-300 x4; dark:border-gray-600 x4; focus:ring-blue-500 x4; dark:focus:ring-blue-400 x4; dark:text-gray-100 x4; placeholder-gray-500 x4; dark:placeholder-gray-400 x4; border-gray-200; dark:border-gray-700; text-yellow-700; dark:text-yellow-300,text-yellow-700; dark:text-yellow-300,structural-gray; status-info; status-warning
insights-ui,AnimatedFlyerCarousel,insights-ui/src/components/genai-business/AnimatedFlyerCarousel.tsx,34,19,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-white x3; to-cyan-500 x2; bg-gray-800/80 x2; border-gray-600/50 x2; hover:bg-gray-700/80 x2; from-blue-500; from-green-500; to-emerald-500; from-orange-200; to-red-200; from-purple-500; to-pink-500; from-indigo-500; to-purple-500; from-teal-500; from-rose-200; to-pink-200; from-gray-800/50; to-gray-900/50; text-gray-300; bg-gray-600; hover:bg-gray-500; bg-gray-700; text-gray-400; bg-green-400; bg-gray-500; from-black/80; via-black/40,to-cyan-500 x2; from-blue-500; from-green-500; to-emerald-500; from-orange-200; to-red-200; from-purple-500; to-pink-500; from-indigo-500; to-purple-500; from-teal-500; from-rose-200; to-pink-200; from-gray-800/50; to-gray-900/50; bg-green-400; from-black/80; via-black/40,white-black; status-info; structural-gray; status-success; status-warning; status-danger; accent-other; brand-indigo
insights-ui,ManageLinksModal,insights-ui/src/app/admin-v1/etf-scenarios/ManageLinksModal.tsx,32,4,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-white x6; text-gray-300 x5; text-gray-400 x4; bg-[#111827] x4; border-[#374151] x4; text-gray-500 x2; text-emerald-400 x2; text-gray-200; border-gray-700/50; bg-gray-900/40; text-red-500; text-red-400,text-emerald-400 x2; text-red-500; text-red-400,white-black; structural-gray; arbitrary-hex; status-success; status-danger
insights-ui,HowItWorksSection,insights-ui/src/components/genai-simulation/HowItWorksSection.tsx,32,19,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-white x3; from-indigo-500 x2; to-purple-500 x2; text-gray-300 x2; from-blue-500; to-cyan-500; to-blue-500; from-purple-500; to-indigo-500; from-pink-500; from-rose-500; to-pink-500; from-orange-500; to-rose-500; from-gray-900; to-gray-800; text-indigo-400; from-indigo-500/30; to-purple-500/30; border-gray-600; bg-gray-800/50; border-gray-700; bg-gray-800/30; text-gray-400; text-gray-500; text-indigo-300; text-gray-600,from-indigo-500 x2; to-purple-500 x2; from-blue-500; to-cyan-500; to-blue-500; from-purple-500; to-indigo-500; from-pink-500; from-rose-500; to-pink-500; from-orange-500; to-rose-500; from-gray-900; to-gray-800; from-indigo-500/30; to-purple-500/30; text-white,white-black; brand-indigo; accent-other; structural-gray; status-info; status-danger; status-warning
insights-ui,score-utils,insights-ui/src/utils/score-utils.ts,32,24,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-red-500 x3; bg-red-500 x3; text-orange-500 x3; bg-orange-500 x3; text-yellow-500 x3; bg-yellow-500 x3; text-green-500 x3; bg-green-500 x3; bg-gray-500 x2; text-gray-400 x2; text-gray-500; bg-gray-400; text-slate-500; bg-slate-500,text-red-500 x3; bg-red-500 x3; text-orange-500 x3; bg-orange-500 x3; text-yellow-500 x3; bg-yellow-500 x3; text-green-500 x3; bg-green-500 x3,status-danger; status-warning; status-success; structural-gray
insights-ui,UserProfile,insights-ui/src/components/core/UserProfile/UserProfile.tsx,31,0,fully migrated to theme tokens,hover:bg-gray-700 x15; text-gray-300 x8; border-gray-700 x6; hover:ring-indigo-400; hover:text-indigo-400,,structural-gray; brand-indigo
insights-ui,UpsertEtfScenarioModal,insights-ui/src/app/admin-v1/etf-scenarios/UpsertEtfScenarioModal.tsx,30,1,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-gray-300 x8; text-white x7; bg-[#111827] x7; border-[#374151] x7; text-red-500,text-red-500,structural-gray; white-black; arbitrary-hex; status-danger
insights-ui,users/page,insights-ui/src/app/admin-v1/users/page.tsx,29,0,fully migrated to theme tokens,text-gray-300 x11; text-gray-400 x3; bg-gray-800 x2; border-gray-700/50 x2; hover:bg-gray-700 x2; border-gray-700/60; border-indigo-400; text-indigo-300; bg-gray-900/40; divide-gray-200; bg-gray-700; divide-gray-700; bg-gray-800/60; text-white,,structural-gray; brand-indigo; white-black
insights-ui,generate/page,insights-ui/src/app/admin-v1/analysis-template-report/[analysisTemplateReportId]/generate/page.tsx,28,8,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,text-white x4; text-blue-400 x3; hover:text-blue-300 x2; text-gray-400 x2; bg-gray-900 x2; border-gray-700 x2; text-blue-500; border-gray-800; bg-gray-800; text-red-400; border-blue-400; bg-blue-900; text-blue-200; bg-gray-700; text-gray-300; bg-red-900; text-red-200; bg-green-900; text-green-200,text-red-400; border-blue-400; bg-blue-900; text-blue-200; bg-red-900; text-red-200; bg-green-900; text-green-200,white-black; status-info; structural-gray; status-danger; status-success
insights-ui,AdminNav,insights-ui/src/app/admin-v1/AdminNav.tsx,26,2,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,bg-indigo-600 x4; hover:bg-indigo-700 x4; text-white x4; dark:bg-gray-800 x2; bg-white x2; ring-gray-900/5; text-gray-700; hover:bg-indigo-50; hover:text-indigo-700; dark:text-gray-200; dark:hover:bg-gray-700; border-gray-200; dark:border-gray-700; dark:ring-white/10; dark:hover:text-white,hover:bg-indigo-50; dark:hover:text-white,brand-indigo; white-black; structural-gray
insights-ui,GenerationRequestsTable,insights-ui/src/app/admin-v1/generation-requests/GenerationRequestsTable.tsx,26,10,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,bg-gray-700 x3; bg-gray-800 x2; text-blue-400 x2; text-gray-400 x2; bg-red-500; bg-green-500; bg-yellow-500; bg-blue-500; bg-gray-400; bg-blue-900; text-blue-200; text-gray-200; bg-red-900; text-red-200; bg-green-900; text-green-200; text-gray-300; divide-gray-200; divide-gray-700; text-gray-500; hover:text-blue-300,bg-red-500; bg-green-500; bg-yellow-500; bg-blue-500; bg-blue-900; text-blue-200; bg-red-900; text-red-200; bg-green-900; text-green-200,structural-gray; status-info; status-danger; status-success; status-warning
insights-ui,UserRow,insights-ui/src/app/admin-v1/users/UserRow.tsx,26,18,structural colors migrated; remaining are sanctioned status/badge/chart/gradient colors,bg-red-900; text-red-200; bg-amber-900; text-amber-200; bg-indigo-900; text-indigo-200; bg-sky-900; text-sky-200; bg-emerald-900; text-emerald-200; bg-gray-700; text-gray-200; bg-purple-900; text-purple-200; bg-blue-900; text-blue-200; bg-green-900; text-green-200; text-gray-400; text-gray-300; text-blue-400; hover:text-blue-300; text-indigo-400; hover:text-indigo-300; text-red-400; hover:text-red-300,bg-red-900; text-red-200; bg-amber-900; text-amber-200; bg-indigo-900; text-indigo-200; bg-sky-900; text-sky-200; bg-emerald-900; text-emerald-200; bg-purple-900; text-purple-200; bg-blue-900; text-blue-200; bg-green-900; text-green-200; text-red-400; hover:text-red-300,status-danger; status-warning; brand-indigo; status-info; status-success; structural-gray; accent-other
